Hanzi	Keyword	Traditional	Strokes	Number	Lesson	Pinyin	Notes	Frequency	No Frequent	Pinyin2	Meaning						
凹	Concave		5	31	2	{āo,wā}		0,001174653	2862	ao1	a depression/indentation/concave/hollow						
凸	Convex		5	32	2	tū		0,001181888	2857	tu1	"(adj) convex; stick out"						
咕	mutter	咕		1502	2	Gū			2418	gu1	mutter						
胆	gall bladder	膽		1503	2	Dǎn			1352	dan3	the gall/the nerve/courage/guts/gall bladder						
自	Oneself		6	33	3	zì		0,316110749	43	zi4	from/self/oneself/since						
白	White		5	34	3	{bái,bó}		0,07686042	286	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous						
百	Hundred		6	35	3	{bǎi,bó,mò}		0,053713613	407	bai3	hundred						
皂	Soap		7	36	3	zào		0,000873884	3087	zao4	black						
旧	Old		5	37	3	jiù		0,018754649	915	jiu4	old (opposite of new)/former						
中	Middle		4	38	3	{zhōng,zhòng}		0,570810369	14	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)						
千	Thousand		3	39	3	qiān		0,035060254	599	qian1	thousand, a swing						
舌	Tongue		6	40	3	{shé,guā}		0,003881573	1958	she2	tongue						
升	Liter		4	41	3	shēng		0,021242453	837	sheng1	to raise/to hoist/to promote/pint, ascend/peaceful, promoted						
丸	Pill		3	42	3	wán		0,001988072	2462	wan2	pill						
卜	Divination		2	43	3	bǔ		0,003773048	1979	bo/bu3	turnip, to divine/foretell						
占	Tell Fortunes		5	44	3	{zhān,zhàn}		0,025828921	737	zhan1/zhan4	to observe/to divine, to divine, to occupy/to constitute/to make up/to account						
上	Above		3	45	3	shàng		0,55274046	16	shang4	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up						
下	Below		3	46	3	xià		0,321019174	42	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter						
卡	Card		5	47	3	{qiǎ,kǎ}		0,026998923	717	ka3/qia3	to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost						
卓	Eminent		8	48	3	zhuō		0,003986481	1942	zhuo2	(surname)/outstanding						
朝	Dynasty		12	49	3	{zhāo,cháo,zhū}		0,035337767	593	chao2/zhao1	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning						
嘲	Ridicule		15	50	3	{cháo,zhāo}		0,002433541	2325	chao2/zhao1	ridicule/mock, to ridicule						
咱	we (inclusive)	咱		1504	3	Zán			1265	za2/zan2	we (incl.), we (incl.)						
肿	swollen	腫		1505	3	Zhǒng			1792	zhong3	swollen						
串	string together	串		1506	3	Chuàn			1832	chuan4	to string together/to mix up/to conspire/to connect/(a measure word)/string						
吓	terrify	嚇		1507	3	Xià			1466	xia4	to frighten/to scare/to intimidate/to threaten						
罩	overspread	罩		1508	3	Zhào			1978	zhao4	cover/fish trap (basket)/shade						
只	Only		5	51	4	{zhǐ,zhī}		0,19124099	97	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only						
贝	Shellfish		4	52	4	bèi		0,012751673	1133	bei4	cowries/shell/valuables/shellfish						
贴	Paste		9	53	4	tiē		0,007693897	1454	tie1	to stick/to paste/to keep close to/to fit snugly/subsidize/allowance						
贞	Chaste		6	54	4	zhēn		0,00228109	2366	zhen1	chaste						
员	Employee		7	55	4	{yuán,yùn}		0,103469169	200	yuan2	person/employee/member						
儿	Youngster		2	56	4	{ér,er}		0,107401904	192	er2/er	son, non-syllabic dimi. suff.						
几	How many?		2	57	4	{jī,jǐ}		0,099406205	211	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few						
见	See		4	58	4	{jiàn,xiàn}		0,139056544	153	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear						
元	Beginning		4	59	4	yuán		0,060199267	370	yuan2	(dynasty)/dollar/primary/first						
页	Page		6	60	4	yè		0,012847795	1128	ye4	page/leaf						
顽	Stubborn		10	61	4	wán		0,00354928	2024	wan2	mischievous/obstinate/to play/stupid/stubborn/naughty						
凡	Ordinary		3	62	4	fán		0,015779001	1013	fan2	ordinary/every/all/whatever/worldly						
肌	Muscle		6	63	4	{jī,jì}		0,004046428	1935	ji1	flesh/muscle						
负	Defeated		6	64	4	fù		0,028224737	691	fu4	lose/negative (math. etc.)/to bear/to carry (on one's back)						
万	Ten Thousand		3	65	4	{wàn,mò}		0,069362901	322	wan4	Wan (surname)/ten thousand/a great number						
匀	Uniform		4	66	4	yún		0,001493509	2692	yun2	even/evenly (divided)/uniform						
句	Sentence		5	67	4	{jù,gōu}		0,027333283	707	ju4	(a measure word, for sentences or lines of verse)/sentence						
旬	Decameron		6	68	4	xún		0,002413903	2332	xun2	ten days/ten years						
勺	Ladle		3	69	4	{sháo,zhuó}		0,000701277	3275	shao2	spoon						
的	Bull’s Eye		8	70	4	{de,dí,dì}		4,094325318	1	de/di2/di4	(possessive particle)/of, really and truly, aim/clear						
首	Heads		9	71	4	shǒu		0,043945341	481	shou3	head/chief/first (occasion)/first (thing)/measure word for poems						
兽	beast	獸		1509	4	Shòu			1602	shou4	beast/quadruped						
嚣	hubbub	囂		1510	4	Xiāo			2982	xiao1	clamor						
直	Straight		8	72	5	zhí		0,087563556	255	zhi2	straight/vertical/frank/directly/straightly/upright						
置	Set Up		13	73	5	zhì		0,029588533	677	zhi4	to install/to place/to put						
具	Tool		8	74	5	jù		0,056231907	391	ju4	tool/device/utensil/equipment/instrument						
真	True		10	75	5	zhēn		0,102538439	204	zhen1	real/true/genuine						
工	Work		3	76	5	gōng		0,164095817	118	gong1	work/worker/skill/profession/trade/craft/labor						
左	Left		5	77	5	zuǒ		0,023548865	782	zuo3	left						
右	Right		5	78	5	yòu		0,023545247	783	you4	right (-hand)						
有	Possess		6	79	5	{yǒu,yòu}		0,920913177	8	you3	to have/there is/there are/to exist/to be						
贿	Bribe		10	80	5	huì		0,001729163	2569	hui4	bribe/bribery						
贡	Tribute		7	81	5	gòng		0,006607098	1548	gong4	tribute/gifts						
项	Item		9	82	5	xiàng		0,036409063	571	xiang4	(surname)/back of neck/item/thing						
刀	Sword		2	83	5	dāo		0,0141041	1067	dao1	knife						
刃	Blade		3	84	5	rèn		0,001476972	2700	ren4	edge of blade						
切	Cut		4	85	5	{qiē,qiè,qì}		0,06531699	337	qie1/qie4	to cut/to slice, close to						
召	Summon		5	86	5	{zhào,shào}		0,010903133	1214	shao4/zhao4	(surname)/name of an ancient state, to call together/to summon/to convene						
昭	Evident		9	87	5	zhāo		0,002877976	2190	zhao1	illustrious/manifest						
则	Rule		6	88	5	zé		0,07702269	284	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle						
副	Vice-		11	89	5	fù		0,02455763	764	fu4	secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair)						
丁	Fourth		2	90	5	{dīng,zhēng}		0,012133598	1168	ding1	(surname)/4th heavenly stem/a Chinese surname						
叮	Sting		5	91	5	dīng		0,001647511	2611	ding1	sting (of mosquito)/to ask						
可	Can		5	92	5	{kě,kè}		0,373691465	30	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)						
哥	Older Brother		10	93	5	gē		0,022542168	804	ge1	elder brother						
顶	Crest		8	94	5	dǐng		0,016184677	1000	ding3	"go against/most/peak/top/to replace/to substitute/a measure word (use with ""hat"")"						
矗	stand straight	矗		1511	5	Chù			3029	chu4	lofty/upright						
颠	invert	顛		1512	5	Diān			2134	dian1	inverted/jolt/top						
巩	strengthen	鞏		1513	5	Gǒng			2384	gong3	secure/solid						
叨	talkative	叨		1514	5	Dāo			2844	dao1/tao1	grumble/garrulous, be in receipt of						
刮	scrape	刮		1515	5	Guā			2350	gua1	to scrape/to blow, blow (of the wind)						
盯	stare at	盯		1516	5	Dīng			1906	ding1	stare/gaze						
呵	rebuke	呵		1517	5	Ā			1861	a1/he1	(phonetic particle), expel breath/my goodness						
乙	Second		1	95	6	yǐ		0,004296035	1872	yi3	"B (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/2nd heavenly stem/2nd in order"						
飞	Fly		3	96	6	fēi		0,063197654	347	fei1	to fly						
子	Child		3	97	6	{zǐ,zi}		0,331073229	37	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)						
孔	Cavity		4	98	6	kǒng		0,009762071	1289	kong3	(surname)/hole						
吼	Roar		7	99	6	hǒu		0,003004589	2151	hou3	roar (of a lion)						
乱	Chaos		7	100	6	luàn		0,024533858	765	luan4	in confusion/disorderly						
了	(-ed)		2	101	6	{le,liǎo}		1,099991629	5	le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place						
女	Woman		3	102	6	{nǚ,rǔ}		0,095702405	224	nu:3/nv3	female/woman						
好	Good		6	103	6	{hǎo,hào}		0,212846226	82	hao3/hao4	good/well, be fond of						
如	Be like		6	104	6	rú		0,23205513	67	ru2	as (if)/such as						
母	Mother		5	105	6	{mǔ,mú,wǔ,wú}		0,036930499	565	mu3	female/mother						
贯	Pierce		8	106	6	{guàn,wān}		0,007421551	1478	guan4	pierce/to string						
兄	Elder Brother		5	107	6	xiōng		0,013635893	1089	xiong1	elder brother						
克	Overcome		7	108	6	kè		0,085809071	262	ke4	gram/subdue/to restrain/to overcome, subdue						
姑	father's sister	姑		1518	6	Gū			994	gu1	paternal aunt						
婴	baby	嬰		1519	6	Yīng			2115	ying1	infant/baby						
姆	nanny	姆		1520	6	Mǔ			1061	mu3	governess						
兢	cautious	兢		1521	6	Jīng			3117	jing1	to be fearful/apprehensive						
小	Small		3	109	7	xiǎo		0,212391972	83	xiao3	small/tiny/few/young						
少	Few		4	110	7	{shǎo,shào}		0,094580982	233	shao3/shao4	few/little/lack, young						
吵	Noisy		7	111	7	chǎo		0,003467112	2040	chao3	to quarrel/to make a noise/noisy/to disturb by making a noise						
孙	Grandchild		6	112	7	{sūn,xùn}		0,016281832	995	sun1	grandson						
大	Large		3	113	7	{dà,dài,tài}		0,544724606	17	da4/dai4	big/huge/large/major/great/wide/deep/oldest/eldest, doctor						
尖	Tip		6	114	7	jiān		0,009320737	1321	jian1	point (of needle)/sharp/shrewd/pointed						
夕	Evening		3	115	7	{xī,xì}		0,003630416	2003	xi1/xi4	evening, dusk						
多	Many		6	116	7	duō		0,248929715	61	duo1	many/much/a lot of/numerous/multi-						
够	Enough		11	117	7	gòu		0,039369208	538	gou4	to reach/to be enough						
外	Outside		5	118	7	wài		0,152784941	131	wai4	outside/in addition/foreign/external						
名	Name		6	119	7	míng		0,10257203	203	ming2	name/(measure word for persons)/place (e.g. among winners)						
罗	Silk Gauze		8	120	7	{luō,luó,luo}		0,056007106	392	luo1/luo2	fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift						
厂	Factory		2	121	7	{chǎng,hàn,ān}		0,017295765	963	chang3	cliff/slope/factory/yard/depot/workhouse/works/(industrial) plant						
厅	Hall		4	122	7	tīng		0,010846803	1217	ting1	(reception) hall/office						
厉	Stern		5	123	7	lì		0,009160533	1339	li4	severe						
厚	Thick		9	124	7	hòu		0,010658177	1235	hou4	generous/thick (for flat things)						
石	Stone		5	125	7	{shí,dàn}		0,052789085	414	dan4/shi2	10 pecks, rock/stone						
砂	Gravel		9	126	7	shā		0,001457334	2713	sha1	sand/gravel/granule						
妙	Wonderful		7	127	7	miào		0,010420972	1250	miao4	clever/wonderful						
肖	Resemble		7	128	7	{xiào,xiāo}		0,003565301	2019	xiao4/xiao1	similar/resembling/to resemble/to be like						
削	Peel		9	129	7	{xuē,xiāo}		0,004738403	1794	xiao1/xue1	to scrape, to reduce/to pare (away)/to cut (down)						
光	Ray		6	130	7	guāng		0,076297641	290	guang1	light/ray/bright						
太	Overly		4	131	7	tài		0,093274549	240	tai4	highest/greatest/too (much)/very/extremely						
省	Economize		9	132	7	{shěng,xiǎn,xǐng}		0,030305314	666	sheng3/xing3	frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit						
奇	Strange		8	133	7	{qí,jī}		0,03716667	563	ji1/qi2	odd (Num), strange/odd/weird/wonderful						
奋	exert oneself	奮		1522	7	Fèn			1268	fen4	exert oneself						
夹	press from both sides	夾		1523	7	Jiā			1758	jia1/jia2	clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane						
颊	cheek	頰		1524	7	Jiá			2655	jia2	cheeks						
厕	toilet	廁		1525	7	Cè			2920	ce4	rest-room/toilet/lavatory						
硕	big	碩		1526	7	Shuò			2304	shuo4	large/big						
砌	lay brick	砌		1527	7	Qì			3221	qi4	to build by laying bricks or stones						
哨	whistle	哨		1528	7	Shào			2383	shao4	a whistle/sentry						
晃	sway	晃		1529	7	Huàng			1796	huang3/huang4	dazzle, sway/to shade						
川	Stream		3	134	8	chuān		0,01321678	1109	chuan1	river/creek/plain/an area of level country						
州	State		6	135	8	zhōu		0,026631488	721	zhou1	(United States) state/province/sub-prefecture						
顺	Obey		9	136	8	shùn		0,017936578	938	shun4	to obey/to follow/to arrange/to make reasonable/along/favorable						
水	Water		4	137	8	shuǐ		0,102805617	202	shui3	water/river						
永	Eternity		5	138	8	yǒng		0,021155116	842	yong3	forever/always/perpetual (ly)						
脉	Blood Vessels		9	139	8	{mài,mò}		0,00616628	1594	mai4	mountain range/pulse						
求	Request		7	140	8	qiú		0,071427974	312	qiu2	to seek/to look for/to request/to demand/to beseech						
泉	Spring		9	141	8	quán		0,005807115	1641	quan2	fountain/spring						
原	Flatlands		10	142	8	{yuán,yuàn}		0,107273742	193	yuan2	former/original/primary/raw/level/cause/source						
泳	Swim		8	143	8	yǒng		0,001652679	2607	yong3	swimming/to swim						
洲	Continent		9	144	8	zhōu		0,027611313	701	zhou1	continent/island						
沼	Marsh		8	145	8	zhǎo		0,001959133	2480	zhao3	pond/pool						
沙	Sand		7	146	8	{shā,shà,suō}		0,020967523	848	sha1	granule/hoarse/raspy/sand/powder						
江	Yangtze		6	147	8	jiāng		0,035969279	577	jiang1	river						
汁	Juice		5	148	8	{zhī,xié,shī}		0,001841822	2540	zhi1	juice						
潮	Tide		15	149	8	cháo		0,009577062	1302	chao2	tide/current/damp/moist/humid						
源	Source		13	150	8	yuán		0,030048472	670	yuan2	root/source/origin						
活	Lively		9	151	8	{huó,guō}		0,098125094	219	huo2	to live/alive/living/work/workmanship						
消	Extinguish		10	152	8	xiāo		0,049747287	439	xiao1	consume/news/subside/to disappear/to vanish						
河	River		8	153	8	hé		0,036013206	574	he2	river						
鱼	Fish		8	154	8	yú		0,020904992	852	yu2	fish						
渔	Fishing		11	155	8	yú		0,004878968	1770	yu2	fisherman/to fish						
湖	Lake		12	156	8	hú		0,018662145	918	hu2	lake						
测	Fathom		9	157	8	cè		0,020543243	861	ce4	side/to lean/to survey/to measure/conjecture						
土	Soil		3	158	8	tǔ		0,041244105	515	tu3	earth/dust						
均	Equal		7	159	8	{jūn,yùn}		0,019039398	903	38869	equal/even/all/uniform						
肚	Belly		7	160	8	{dù,dǔ}		0,004703778	1800	du3/du4	tripe, belly						
尘	Dust		6	161	8	chén		0,005238651	1718	chen2	dust/dirt/earth						
填	Fill in		13	162	8	tián		0,003824727	1970	tian2	to fill in						
吐	Spit		6	163	8	{tǔ,tù}		0,005752852	1653	tu3/tu4	to spit, vomit						
压	Pressure		6	164	8	{yā,yà}		0,024825324	756	ya1/ya4	to press/to push down/to keep under (control), in the first place/to crush						
哇	Waaah!		9	165	8	{wā,wa}		0,002095564	2433	wa1/wa	sound of child's crying						
寸	Chinese inch		3	166	8	cùn		0,004163221	1904	cun4	a unit of length/inch/thumb						
封	Seal		9	167	8	fēng		0,020130848	871	feng1	to confer/to grant/to seal/(a measure word)						
时	Time		7	168	8	shí		0,430756947	25	shi2	o'clock/time/when/hour/season/period						
寺	Buddhist temple		6	169	8	sì		0,004237638	1892	si4	Buddhist temple						
火	Fire		4	170	8	{huǒ,huō}		0,050520915	433	huo3	fire						
灭	Destroy		5	171	8	miè		0,017640461	953	mie4	extinguish						
灰	Ashes		6	172	8	huī		0,009456134	1311	hui1	gray/ash						
烦	Vexed		10	173	8	fán		0,010374978	1253	fan2	feel vexed/to bother						
炎	Inflammation		8	174	8	{yán,yàn,tán}		0,009287146	1324	yan2	flame/inflammation/-itis						
淡	Thin		11	175	8	{dàn,tán,yǎn,yàn}		0,009704708	1293	dan4	insipid/diluted/weak/light in color/tasteless/fresh/indifferent/nitrogen						
灯	Lamp		6	176	8	dēng		0,013126859	1115	deng1	lamp/light						
点	Spot		9	177	8	diǎn		0,155448969	128	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)						
照	Illuminate		13	178	8	zhào		0,049104923	443	zhao4	according to/in accordance with/to shine/to illuminate/to reflect/photograph						
泪	tears	淚		1530	8	Lèi			1271	lei4	tears						
泄	discharge	洩		1531	8	Xiè			2010	xie4	divulge/leak out						
泊	moor	泊		1532	8	Bó			2043	bo2	to anchor/touch at/to moor						
沾	soak	沾		1533	8	Zhān			2402	zhan1	infected by/moisten/receive favors, moisten						
渺	insignificant	渺		1534	8	Miǎo			2966	miao3	vague/remote						
汰	get rid of	汰		1535	8	Tài			2969	tai4	to discard/to eliminate/too						
咏	chant	詠		1536	8	Yǒng			3469	yong3	sing						
腺	gland	腺		1537	8	Xiàn			2257	xian4	gland						
鲁	Lu	魯		1538	8	Lǔ			898	lu3	crass/place name						
坦	level	坦		1539	8	Tǎn			1017	tan3	flat/open-hearted/level/smooth						
坝	dam	壩		1540	8	Bà			2786	ba4	dam/dyke/embankment						
涯	bank	涯		1541	8	Yá			2604	ya2	border/horizon/shore						
娃	newborn	娃		1542	8	Wá			1833	wa2	baby/doll						
肘	elbow	肘		1543	8	Zhǒu			3010	zhou3	elbow/pork shoulder						
碍	obstruct	礙		1544	8	Ài			1437	ai4	to hinder/to obstruct/to block						
夺	take by force	奪		1545	8	Duó			1199	duo2	rob/snatch						
灼	scorch	灼		1546	8	Zhuó			2867	zhuo2	brilliant/cauterize						
炒	stir-fry	炒		1547	8	Chǎo			2590	chao3	saute/pan-fry/to fry/fried						
灶	cooking stove	灶		1548	8	Zào			2691	zao4	kitchen stove						
里	Li		7	179	9	lǐ		0,277924462	50	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown						
量	Quantity		12	180	9	{liàng,liáng}		0,093025458	241	liang2/liang4	to measure, capacity/quantity/amount/to estimate						
埋	Bury		10	181	9	{mái,mán}		0,005811766	1640	mai2/man2	bury, to blame						
黑	Black		12	182	9	{hēi,hè}		0,04077228	519	hei1	black/dark						
墨	Black Ink		15	183	9	mò		0,007213804	1493	mo4	China ink/ink stick						
冒	Risk		9	184	9	{mào,mòu,mò}		0,010809595	1222	mao4	brave/bold/to cover						
同	Same		6	185	9	{tóng,tòng}		0,22615086	69	tong2	like/same/similar/together/alike/with						
洞	Cave		9	186	9	{dòng,tóng}		0,015709751	1015	dong4	cave/hole						
丽	Lovely		7	187	9	{lì,lí}		0,021375784	834	li2/li4	Korea, beautiful						
向	Orientation		6	188	9	xiàng		0,143142247	146	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to						
响	Echo		9	189	9	xiǎng		0,042222379	503	xiang3	to make a sound/to sound/to ring/(a measure word for sound)/loud						
尚	Esteem		8	190	9	{shàng,cháng}		0,019832146	878	shang4	still/yet/to value/to esteem						
字	Character		6	191	9	zì		0,055925454	393	zi4	letter/symbol/character/word						
守	Guard		6	192	9	{shǒu,shòu}		0,022874977	796	shou3	to guard						
完	Finish		7	193	9	wán		0,073962288	301	wan2	to finish/to be over/whole/complete/entire						
灾	Disaster		7	194	9	zāi		0,00905976	1349	zai1	disaster/calamity						
宣	Proclaim		9	195	9	xuān		0,02431009	770	xuan1	to declare (publicly)/to announce						
宵	Nighttime		10	196	9	xiāo		0,000828923	3131	xiao1	night						
安	Peaceful		6	197	9	ān		0,094680204	232	an1	content/calm/still/quiet/to pacify/peace						
宴	Banquet		10	198	9	yàn		0,00299632	2155	yan4	feast/repose						
寄	Mail		11	199	9	jì		0,006061373	1611	ji4	lodge at/to mail/to send/to entrust/to depend						
富	Wealthy		12	200	9	fù		0,025980339	733	fu4	rich						
贮	Store up		8	201	9	{zhǔ,zhù}		0,001239251	2824	zhu4	to store/to save/stockpile						
哩	mile	哩		1549	9	Lǐ			1949	li1/li3/li	(onomat.), mile, (part. for continued state)						
厘	smidgen	釐		1550	9	Lí			2262	li2	one thousandth						
鲤	carp	鯉		1551	9	Lǐ			3204	li3	carp						
嘿	Hey!	嘿		1552	9	Hēi			2423	hei1	hey						
熏	treat with smoke	熏		1553	9	Xūn			2997	xun1	to smoke/scent/fumigate						
丹	cinnabar red	丹		1554	9	Dān			1280	dan1	red/pellet/powder/cinnabar						
炯	shining	炯		1555	9	Jiǒng			2933	jiong3	bright/clear						
晌	part of the day	晌		1556	9	Shǎng			2822	shang3	around noon						
淌	trickle	淌		1557	9	Tǎng			2994	tang3	drip/to shed (tears)						
宁	calm	寧		1558	9	Níng			1019	ning2	peaceful/rather						
寡	widowed	寡		1559	9	Guǎ			2268	gua3	few/widowed						
喧	boisterous	喧		1560	9	Xuān			2778	xuan1	clamor/noise, clamor/noise/deceitful						
木	Tree		4	202	10	mù		0,028130165	694	mu4	tree/wood						
林	Woods		8	203	10	lín		0,060812691	364	lin2	woods/forest						
森	Forest		12	204	10	sēn		0,015262215	1029	sen1	forest						
梦	Dream		11	205	10	{mèng,méng}		0,020405778	865	meng4	to dream						
机	Machine		6	206	10	jī		0,175615475	111	ji1	machine/opportunity/secret						
植	Plant		12	207	10	zhí		0,012919112	1124	zhi2	to plant						
杏	Apricot		7	208	10	xìng		0,001311601	2790	xing4	apricot						
呆	Dim-witted		7	209	10	{dāi,ái}		0,009170869	1338	dai1	foolish/stupid/no expression/stay, stay/stupid						
枯	Withered		9	210	10	kū		0,002884695	2188	ku1	dried up						
村	Village		7	211	10	cūn		0,027184448	712	cun1	village						
相	One another		9	212	10	{xiāng,xiàng}		0,139079799	152	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture						
本	Notebook		5	213	10	běn		0,200573613	92	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)						
案	Case		10	214	10	àn		0,041030156	518	an4	(legal) case/incident/record/file/table						
未	Not yet		5	215	10	wèi		0,057100106	385	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not						
末	Last		5	216	10	mò		0,012157887	1164	mo4	end/final stage/latter part						
沫	Foam		8	217	10	mò		0,001928125	2495	mo4	foam/suds						
味	Flavor		8	218	10	wèi		0,021035222	844	wei4	taste						
妹	Younger sister		8	219	10	mèi		0,011742909	1185	mei4	younger sister						
查	Investigate		9	220	10	{chá,zhā}		0,046530817	459	cha2/zha1	to research/to check/to investigate/to examine/to refer to/to search, (surname)						
渣	Sediment		12	221	10	zhā		0,000772594	3196	zha1	dregs						
染	Dye		9	222	10	rǎn		0,012632296	1141	ran3	to catch (a disease)/dye						
李	Plum		7	223	10	lǐ		0,044749975	472	li3	(a surname)/plum						
桌	Table		10	224	10	zhuō		0,011542913	1193	zhuo1	table						
杂	Miscellaneous		6	225	10	zá		0,020808353	853	za2	mixed/miscellaneous/various/to mix						
若	As if		11	226	10	{ruò,rě,ré,rè}		0,031387462	651	ruo4	to seem/like/as/if						
草	Grass		12	227	10	{cǎo,zào}		0,023054819	789	cao3	grass/straw/draft (of a document)/careless/rough/manuscript/hasty						
艺	Technique		7	228	10	yì		0,02336799	786	yi4	skill/art						
苦	Suffering		11	229	10	{kǔ,gǔ}		0,03265772	634	ku3	bitter/intensely/miserable/painful						
宽	Wide		10	230	10	kuān		0,012360467	1155	kuan1	lenient/wide/broad						
莫	Nobody		13	231	10	{mò,mù}		0,017620823	955	mo4	do not/there is none who						
模	Imitate		15	232	10	{mó,mú}		0,028366853	689	mo2	imitate/model/norm/pattern						
漠	Desert		14	233	10	mò		0,00484021	1777	mo4	desert/unconcerned						
墓	Grave		14	234	10	mù		0,00459422	1816	mu4	tomb						
苗	Seedling		11	235	10	miáo		0,004106375	1920	miao2	(surname)/Miao tribe/sprout						
瞄	Aim		14	236	10	miáo		0,001748284	2565	miao2	to aim						
棚	shed	棚		1561	10	Péng			2448	peng2	shed						
柏	cypress	柏		1562	10	Bǎi			1596	bai3/bo4	(surname)/cedar/cypress, cypress/cedar						
朴	plain	樸		1563	10	Pǔ			2092	po4/pu3	Celtis sinensis var. japonica, Pak or Park (Korean surname)/plain and simple						
朵	flouds	朵		1564	10	Duo			1571	duo3	M for flowers						
杠	thick stick	槓		1565	10	Gàng			3066	gang1/gang4	footbridge, carrying pole/horizontal bar						
椅	chair	椅		1566	10	Yǐ			1663	yi3	chair						
樱	cherry	櫻		1567	10	Yīng			2781	ying1	cherry						
梢	treetops	梢		1568	10	Shāo			2785	shao1	tip of branch						
杜	prevent	杜		1569	10	Dù			1277	du4	(surname)/fabricate/restrict/to prevent						
